"barrio" "censo" "pp" "psoe" "cs" "vox" "masmadrid" "podemos" "otros" "abstencion"
"Simancas" 19174 28.8 12.4 2.4 5.5 13.4 5.9 1.6 30.1
"Hellin" 6806 21 14.7 1.2 5.3 15.3 7.7 1.7 33.1
"Amposta" 5982 19 13.4 1.5 5 11.9 5.7 1.4 42
"Arcos" 18129 24.9 13.9 2.1 5.4 14.9 6.8 1.6 30.4
"Rosas" 24307 33.6 14.1 3.9 5.5 18 5.8 1.7 17.4
"Rejas" 10825 36.8 10.3 3.1 6.6 11.5 4.5 1.2 25.9
"Canillejas" 20789 30.7 13.2 2.1 5.7 12.6 5.6 1.7 28.3
"El Salvador" 9062 40.1 12 4.2 7.1 13.7 4.2 1.4 17.3
"Alameda de Osuna" 15067 43.4 12.3 4.4 6.8 12.7 4.2 1.1 15.2
"Aeropuerto" 1232 23.9 9.8 1.3 7.7 11.1 4.4 1.3 40.5
"BarajasCH" 5327 31.6 12.8 1.9 7.3 12.1 5.2 1.5 27.6
"Timon" 9178 36.2 10.6 3.9 6.8 14.3 4.7 1.5 22.1
"Corralejos" 5253 50.9 8.9 5.2 6.9 8.8 2.2 1.1 16
